Course Title,Rating
Alexander Technique: Balanced Posture for Ease and Comfort,1
"Alfabetização Midiática, Informacional e Diálogo Intercultural - UNESCO e UNICAMP",1
Algae Biotechnology,1
Algebra and Differential Calculus for Data Science,3
Algebra: Elementary to Advanced - Equations & Inequalities,1
Algebra: Elementary to Advanced - Functions & Applications,1
Algebra: Elementary to Advanced - Polynomials and Roots,3
Algebra: Elementary to Advanced Specialization,1
Algorithmic Toolbox,5
Algorithms Specialization,3
Algorithms for Battery Management Systems Specialization,4
Algorithms for DNA Sequencing,1
"Algorithms for Searching, Sorting, and Indexing",3
Algorithms on Graphs,3
Algorithms on Strings,1
Aligning Diet and Exercise,1
Alimentación y dietética para una vuelta al mundo a vela,1
Alle origini della civiltà  mediterranea: archeologia  della città dal Levante  all’Occidente - III-I millennio a.C.,1
Alternative Mobility Narratives,2
Aléatoire : une introduction aux probabilités - Partie 1,1
Aléatoire : une introduction aux probabilités - Partie 2,1
Amazon Aurora Service Introduction,1
Amazon Aurora: Best Practices,1
Amazon Redshift: Introducción al Almacenamiento de Datos,1
Amazon Translate: Translate documents with batch translation,1
America Through Foreign Eyes,1
America's Unwritten Constitution,2
America's Written Constitution,2
American Contract Law I,3
American Contract Law II,2
"American Education Reform: History, Policy, Practice",1
American History Through Baseball Specialization,1
"American Politics, Society, and History",2
América Latina en los cambios internacionales: amenazas y oportunidades. ,2
An Introduction to Accessibility and Inclusive Design,2
An Introduction to American Law,2
An Introduction to Consumer Neuroscience & Neuromarketing ,3
An Introduction to Global Health,1
An Introduction to Interactive Programming in Python (Part 1),1
An Introduction to Logic for Computer Science,1
An Introduction to Programming the Internet of Things (IOT) Specialization,4
An Introduction to Programming using Python,3
An Introduction to the U.S. Food System: Perspectives from Public Health,1
An Intuitive Introduction to Probability,1
An Overview of the U.S. Healthcare System,2
Analisis Data dengan Pemrograman R,1
Analitik Data Google Professional Certificate,5
Analizando las Políticas Económicas,2
Analizar e incrementar - Parte 1,1
Analyse numérique pour ingénieurs,1
Analysing: Numeric and digital literacies Specialization,1
Analysis and Interpretation of Large-Scale Programs,1
Analysis for Business Systems,3
Analysis of Business Problems,1
Analytic Combinatorics,1
Analytical Mechanics for Spacecraft Dynamics,1
Analytical Solutions to Common Healthcare Problems,1
Analytics for Decision Making Specialization,1
Analytics in Healthcare Management and Administration,1
Analyze Data to Answer Questions,2
Analyzing Digital Transformation Canvas for Competitiveness ,1
